# code: zh
# key, value

#translation by Guanfei(@_guanfei_)
#Sorry for not being able to update the translation promptly due to heavy academic workload.
#I will make updates online during my free time.

language_name,中文(简体)
translator,观绯Guanfei(@_guanfei_)

# menu bar
file,文件
new,新建
open,打开
open_recent,打开最近文件
clear,清空
save,保存
save_as,另存为
#- export_score,
exit,退出
edit,编辑
undo,撤回
redo,恢复
select_all,全选
view,视图
settings,设置
window,窗口
vsync,垂直同步
show_fps,显示帧率
debug,调试
create_auto_save,创建自动保存
help,帮助
about,关于

# dialogs
file_not_found,文件未找到
file_not_found_msg1,无法找到文件：
file_not_found_msg2,文件可能已被移动、重命名或删除
remove_recent_file_not_found,从最近文件中移除
yes,是
no,否
unsaved_changes,未保存的更改
ask_save,是否保存更改？
warn_unsaved,您的更改尚未保存
save_changes,保存更改
discard_changes,放弃更改
update_available,有可用更新
update_available_description,新版本%s已可用。是否立即下载？
score_file,谱面文件
#- export_successful,
#- unknown_file_format,
#- open_as_file_format,
#- export_as_file_format,
error,错误
error_load_score_file,加载谱面文件时出错
#- error_save_score_file,
error_load_music_file,加载音频文件时出错
#- score_partially_missing,
#- export_format_not_avail_extended,
cancel,取消
general,常规
key_config,按键配置
language,语言
#- minify,
auto,自动
auto_save,自动保存
auto_save_enable,启用自动保存
auto_save_interval,自动保存间隔
auto_save_count,自动保存数量
accent_color,主题色
accent_color_help,设置界面的主题颜色
select_accent_color,选择主题色
display_mode,显示模式
theme,主题
base_theme,基础主题
theme_light,浅色主题
theme_dark,深色主题
custom_color,自定义颜色
timeline,时间轴
#- match_timeline_size_to_window,
match_notes_size_to_timeline,音符大小匹配时间轴
lane_width,轨道宽度
notes_height,音符高度
scrolling,滚动
scroll_speed_normal,正常滚动速度
scroll_speed_shift,Shift滚动速度
use_smooth_scroll,使用平滑滚动
smooth_scroll_time,平滑滚动时间
return_to_last_tick,返回上一个刻度
cursor_auto_scroll,光标自动滚动
cursor_auto_scroll_amount,光标自动滚动量
#- division_type,
background,背景
background_image,背景图片
draw_background,绘制背景
background_brightness,背景亮度
lanes_opacity,轨道不透明度
video,视频
#- visuals,
#- notes_skin,
notes_se,音符音效
show_tick_in_properties,在属性中显示刻度
#- warn_score_extension_disable,

# score editor
options,选项
chart_properties,谱面属性
note_properties,音符属性
notes_timeline,音符时间轴
select,选择
tap,点击
hold,长按
hold_step,长按步骤
flick,滑动
critical,关键
#- dummy,
#- hold_dummy,
#- hold_critical,
#- hold_separator,
trace,轨迹
guide,引导
damage,伤害
bpm,BPM
time_signature,拍号
none,无
default,默认
left,左
right,右
#- down,
#- down_left,
#- down_right,
normal,普通
hidden,隐藏
skip,跳过
linear,线性
ease_in,缓入
ease_out,缓出
ease_in_out,缓入缓出
ease_out_in,缓出缓入
#- ease_none,
#- sound_effect,
#- sfx_default,
#- sfx_none,
#- sfx_tap,
#- sfx_flick,
#- sfx_trace,
#- sfx_tick,
#- sfx_crit_tap,
#- sfx_crit_flick,
#- sfx_crit_trace,
#- sfx_crit_tick,
#- sfx_damage,
#- hold_layer_top,
#- hold_layer_bottom,
#- hold_layer_tooltip,
delete,删除
copy,复制
cut,剪切
paste,粘贴
flip_paste,翻转粘贴
duplicate,复制
flip_duplicate,翻转复制
flip,翻转
note_width,音符宽度
#- note_align,
shrink_down,向下收缩
shrink_up,向上收缩
compress_selection,压缩选择
connect_holds,连接长按
split_hold,分割长按
repeat_hold_mids,重复长按中间
hold_to_traces,长按转轨迹
add_traces_for_hold,为长按添加轨迹
convert_hold_to_traces,转换长按为轨迹
#- convert_guide_hold,
#- convert_guide_to_hold,
#- convert_hold_to_guide,
#- convert_hold_to_none,
lerp_hispeeds,插值高速
step_type,步骤类型
#- step_alpha,
ease_type,缓动类型
flick_type,滑动类型
hold_type,长按类型
fade_type,淡入淡出类型
hold_start_type,长按开始类型
hold_end_type,长按结束类型
metadata,元数据
title,标题
designer,设计者
artist,艺术家
jacket,封面
lane_extension,轨道扩展
#- life_point,
audio,音频
music_file,音乐文件
music_offset,音乐偏移
volume_master,主音量
volume_bgm,BGM音量
volume_se,音效音量
#- playback_speed,
statistics,统计
hispeeds,高速
taps,点击
flicks,滑动
holds,长按
steps,步骤
guides,引导
traces,轨迹
total,总计
combo,连击
goto_measure,跳转到小节
division,%d分割
division_affix,%d分割词缀
custom,自定义
snap_mode,吸附模式
snap_mode_relative,相对吸附
snap_mode_absolute,绝对吸附
snap_mode_individual_absolute,单独绝对吸附
zoom,缩放
#- zoom_sensitivity,
show_step_outlines,显示步骤轮廓
#- hide_step_outlines_during_playback,
draw_waveform,绘制波形
#- stop_playback_at_music_end,
edit_bpm,编辑BPM
tick,刻度
remove,移除
edit_time_signature,编辑拍号
measure,小节
skill,技能
#- skill_effect,
#- skill_effect_score,
#- skill_effect_heal,
#- skill_effect_perfect,
#- skill_level,
increase_note_size,增大音符尺寸
decrease_note_size,减小音符尺寸
hi_speed,高速
edit_hi_speed,编辑高速
hi_speed_speed,高速速度
#- hi_speed_skip_beat,
#- hi_speed_ease,
#- hi_speed_ease_none,
#- hi_speed_ease_linear,
#- hi_speed_hide_notes,
fade_none,无淡入淡出
fade_in,淡入
fade_out,淡出
#- fade_custom,
#- fade_classic,
guide_color,引导颜色
guide_neutral,中性引导
guide_red,红色引导
guide_blue,蓝色引导
guide_green,绿色引导
guide_yellow,黄色引导
guide_purple,紫色引导
guide_cyan,青色引导
guide_black,黑色引导
layer,图层
edit_skill,编辑技能
edit_fever,编辑狂热
edit_none,无编辑
edit_event,编辑事件
beat,节拍
lane,轨道
width,宽度
advanced,高级
note_properties_note,音符属性
note_properties_hi_speed,高速属性
note_properties_hold_note,长按音符属性
note_properties_guide,引导属性
note_properties_not_selected,未选择属性
#- note_properties_mixed_value,
translated_by,翻译者: %s
zoom_tooltip,缩放提示
#- timeline_context_not_selected,
#- extended_score,
#- note_select_tool_tip,

# preset manager
presets,预设
no_presets,无预设
#- preset_name,
description,描述
create_preset,创建预设
search,搜索
confirm,确认

# layer manager
layers,图层
#- layer_name,
create_layer,创建图层
show_all_layers,显示所有图层
layer_rename,重命名图层
layer_up,图层上移
layer_down,图层下移
layer_merge,合并图层
layer_delete,删除图层
layer_hide,隐藏图层
layer_show,显示图层
#- layer_change_order,
#- layer_order_tooltip,
#- layer_merge_warning,

# waypoint manager
waypoints,路径点
create_waypoint,创建路径点
edit_waypoint,编辑路径点
waypoint_name,路径点名称
#- insert_skill,
#- set_fever_start,
#- set_fever_end,

# commands
action,操作
keys,按键
add,添加
cmd_key_listen,监听命令键
new_chart,新建谱面
toggle_playback,切换播放
cancel_paste,取消粘贴
stop,停止
previous_tick,上一个刻度
next_tick,下一个刻度
timeline_select,时间轴选择
timeline_tap,时间轴点击
timeline_hold,时间轴长按
timeline_hold_step,时间轴长按步骤
timeline_flick,时间轴滑动
timeline_critical,时间轴关键
timeline_trace,时间轴轨迹
timeline_guide,时间轴引导
timeline_damage,时间轴伤害
#- timeline_dummy,
timeline_bpm,时间轴BPM
timeline_time_signature,时间轴拍号
timeline_hi_speed,时间轴高速
zoom_in,放大
zoom_out,缩小
